Location,Controller,ENS_kWh,LOLP_%,SOH_%,Lifespan_yrs,EFC,SCR_%,SERVED_%,SOC_STD
Accra,Rule-Based,574197.41,37.02,84.51,7.7,15038.95,11.39,63.07,0.3095
Accra,AI (LSTM+PPO),19283.89,3.8,91.27,13.7,4487.16,11.39,98.76,0.126
Bolgatanga,Rule-Based,576832.78,36.99,84.53,7.8,15211.88,10.25,62.9,0.3097
Bolgatanga,AI (LSTM+PPO),15937.9,3.32,91.19,13.6,4522.98,10.25,98.97,0.1253
Akosombo,Rule-Based,576461.43,37.08,84.51,7.7,15024.19,11.26,62.93,0.3095
Akosombo,AI (LSTM+PPO),16061.76,3.52,91.28,13.8,4476.16,11.26,98.97,0.125
